"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"GENIE3",0.577540106951872,0.285452665876348,0.272727272727273,0.235294117647059,0.0374331550802139,0.545454545454545,NA,0.190000000000055,"ok",0.03,30,13,"noise"
"idopNetwork",0.658823529411765,0.351126086212069,0.411764705882353,0.181818181818182,0.229946524064171,0.470588235294118,0.545454545454545,189.44,"ok",0.03,30,14,"noise"
"WGCNA",0.394385026737968,0.195197071150236,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.519999999999982,"ok",0.03,30,14,"noise"
"GENIE3",0.564839572192513,0.278886011791042,0.227272727272727,0.25,-0.0227272727272727,0.363636363636364,NA,0.170000000000073,"ok",0.03,30,14,"noise"
"idopNetwork",0.761363636363636,0.379749167371366,0.416666666666667,0.159090909090909,0.257575757575758,0.666666666666667,0.4,47.1600000000001,"ok",0.03,30,15,"noise"
"WGCNA",0.521390374331551,0.286643055513218,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.449999999999818,"ok",0.03,30,15,"noise"
"GENIE3",0.571524064171123,0.266570414393723,0.272727272727273,0.235294117647059,0.0374331550802139,0.681818181818182,NA,0.200000000000273,"ok",0.03,30,15,"noise"
"idopNetwork",0.794652406417112,0.506757815801786,0.588235294117647,0.127272727272727,0.46096256684492,0.764705882352941,0.6,181.54,"ok",0.03,30,16,"noise"
"WGCNA",0.616310160427808,0.311852664743891,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.609999999999673,"ok",0.03,30,16,"noise"
"GENIE3",0.659090909090909,0.306857918885741,0.363636363636364,0.205882352941176,0.157754010695187,0.727272727272727,NA,0.220000000000255,"ok",0.03,30,16,"noise"
"idopNetwork",0.770833333333333,0.382669865556664,0.333333333333333,0.181818181818182,0.151515151515152,0.75,0.5,64.8400000000001,"ok",0.03,30,17,"noise"
"WGCNA",0.475935828877005,0.230463392986528,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.519999999999982,"ok",0.03,30,17,"noise"
"GENIE3",0.683823529411765,0.346133614872925,0.272727272727273,0.235294117647059,0.0374331550802139,0.636363636363636,NA,0.169999999999618,"ok",0.03,30,17,"noise"
"idopNetwork",0.663101604278075,0.38800786886436,0.411764705882353,0.181818181818182,0.229946524064171,0.588235294117647,0.461538461538462,219.11,"ok",0.03,30,18,"noise"
"WGCNA",0.481283422459893,0.251764848929338,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.409999999999854,"ok",0.03,30,18,"noise"
"GENIE3",0.642379679144385,0.318740664432721,0.363636363636364,0.205882352941176,0.157754010695187,0.590909090909091,NA,0.170000000000073,"ok",0.03,30,18,"noise"
